id,wishlist,latest_movie
184222408578695168,"[""Beetleborgs: The Movie"",""indian johnny bravo""]",
201912877353795584,"[""cool tools"",""bean sprout"",""Nightcrawler""]",165
88155523832115200,"[""pokemon""]",
